ElementName,FamilyName,CategoryName,ItemName,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Length,Depth,Height,Volume,Surface
建筑墙 -站台层内部- 100mm,基本墙,墙,混凝土墙,-33797.985317178165,18449.01259979429,-29.829396325459317,-33780.76090773901,18449.34068378379,-15.393700787401574,17.22440943915717,0.3280839895014651,14.435695538057743,81.57688008091753,518.0670080709614
建筑墙 -站台层内部- 100mm,基本墙,墙,混凝土墙,-33797.985317178165,18449.01259979429,-29.829396325459317,-33780.76090773901,18449.34068378379,-15.393700787401574,17.22440943915717,0.3280839895014651,14.435695538057743,81.57688008091753,518.0670080709614
建筑墙 -站台层内部- 100mm,基本墙,墙,混凝土墙,-33797.985317178165,18449.01259979429,-29.829396325459317,-33780.76090773901,18449.34068378379,-15.393700787401574,17.22440943915717,0.3280839895014651,14.435695538057743,81.57688008091753,518.0670080709614
建筑墙 -站台层内部- 100mm,基本墙,墙,混凝土墙,-33797.985317178165,18449.01259979429,-29.829396325459317,-33780.76090773901,18449.34068378379,-15.393700787401574,17.22440943915717,0.3280839895014651,14.435695538057743,81.57688008091753,518.0670080709614
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
建筑墙 -站台层内部- 200mm,基本墙,墙,混凝土墙,-34231.22022532615,18440.482607883314,-29.829396325459317,-34230.56405734715,18457.378933364264,-15.393700787401574,0.6561679790029302,16.8963254809496,14.435695538057743,160.0460697867645,528.9385585300697
